player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Madieu Williams,1777,S,13,CIN,786,23,344,419,68.2,70.3,78.8,70.6,67.6,5,2,0,3,0,58,6,7,23,1,35,22,308,14.0,79,46,3,2,4,95.9,5,0
Antwan Odom,1778,ED,16,TEN,679,406,269,4,71.1,64.2,58.5,77.9,61.4,56,9,12,35,6,11,3,4,15,0,1,0,0,,0,,0,0,0,39.6,6,0
Shawntae Spencer,1779,CB,11,SF,359,5,112,242,61.4,63.3,71.0,50.2,62.4,0,0,0,0,0,24,3,2,7,0,36,23,230,10.0,14,18,1,1,2,79.6,3,0
Sean Jones,1780,S,16,CLV,1102,58,453,591,68.2,89.7,85.4,82.5,53.9,9,1,2,6,1,81,18,6,24,2,48,30,466,15.5,116,39,6,5,3,94.6,6,1
Darnell Dockett,1785,DI,16,ARZ,950,578,361,11,62.0,57.1,74.9,68.6,57.3,44,10,15,19,2,32,9,3,29,2,1,1,46,46.0,51,46,0,0,0,118.8,6,0
Stuart Schweigert,1788,S,15,OAK,614,1,306,307,49.6,41.6,39.3,60.6,54.7,0,0,0,0,0,46,8,12,5,0,13,8,180,22.5,66,79,2,2,2,105.4,0,0
Gilbert Gardner,1790,LB,3,TEN,4,0,3,1,52.2,55.1,73.3,,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Randy Starks,1792,DI,14,TEN,432,268,164,0,55.2,59.7,75.1,53.8,60.0,11,0,1,10,0,12,6,1,10,0,0,0,0,,0,,0,0,0,0.0,2,0
Keith Smith,1794,CB,15,DET,430,1,113,316,70.1,64.2,70.4,58.9,69.7,1,0,0,1,0,36,1,3,4,0,61,36,395,11.0,133,43,6,3,4,90.5,1,0
Tim Anderson,1795,DI,4,ATL,139,73,66,0,46.7,51.4,71.9,53.9,53.7,2,0,0,2,0,2,1,1,1,0,1,1,9,9.0,3,9,0,0,0,104.2,1,0
Tim Anderson,1795,DI,4,BUF,68,32,33,3,46.7,51.4,71.9,53.9,53.7,2,0,0,2,0,2,1,1,1,0,1,1,9,9.0,3,9,0,0,0,104.2,1,0
Caleb Miller,1801,LB,3,CIN,109,19,41,49,48.9,44.2,85.7,58.3,56.6,2,0,1,1,1,7,2,0,2,0,8,5,43,8.6,11,20,1,0,2,116.1,0,0
Darrion Scott,1809,DI,4,MIN,77,55,22,0,65.1,76.6,69.0,51.3,,2,0,1,1,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Matt Ware,1810,S,12,ARZ,107,2,23,82,52.3,64.9,47.2,54.2,52.2,0,0,0,0,0,8,0,2,2,0,6,4,53,13.3,22,18,0,0,0,94.4,0,0
Tony Hargrove,1812,ED,12,BUF,324,191,119,14,63.4,73.8,52.6,53.8,57.8,14,2,4,8,0,13,6,3,10,0,2,2,15,7.5,7,11,0,0,0,97.9,1,0
Keyaron Fox,1814,LB,6,KC,90,5,69,16,58.9,61.0,54.3,53.0,55.9,1,0,0,1,0,10,1,4,9,0,1,0,0,,0,,0,0,0,39.6,0,0
Landon Johnson,1817,LB,16,CIN,876,83,375,418,75.6,78.0,83.0,56.4,70.7,10,1,5,4,1,79,28,8,36,0,48,36,313,8.7,190,22,1,0,3,98.7,0,0
Reggie Torbor,1818,LB,11,NYG,270,40,137,93,66.2,72.6,63.9,83.5,44.2,9,1,3,5,1,23,3,4,14,0,17,16,187,11.7,115,30,0,0,0,112.5,0,0
Shaun Phillips,1819,ED,15,SD,848,411,323,114,80.8,71.6,75.8,72.8,87.3,38,10,6,22,5,45,8,3,32,3,12,10,41,4.1,41,9,0,2,1,41.3,4,1
Demorrio Williams,1822,LB,16,ATL,551,31,293,227,58.0,58.4,78.7,59.6,58.9,4,0,1,3,0,68,14,5,36,0,34,29,305,10.5,167,36,0,2,0,79.5,1,0
Bo Schobel,1824,ED,2,ARZ,16,10,6,0,61.6,62.8,68.1,58.0,,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Isaac Sopoaga,1825,DI,16,SF,438,193,242,3,57.2,59.7,66.7,53.1,60.4,8,2,1,5,1,14,6,2,13,0,0,0,0,,0,,0,0,0,0.0,1,0
Nathan Vasher,1831,CB,4,CHI,209,2,79,128,65.9,68.4,69.6,78.5,65.0,1,1,0,0,0,6,1,1,3,0,16,10,149,14.9,76,71,1,1,0,87.8,1,0
Will Allen,1832,S,12,TB,144,0,73,71,48.0,43.2,28.1,,54.5,0,0,0,0,0,6,2,5,3,0,3,2,6,3.0,1,4,0,0,0,70.1,0,0
Leon Joe,1833,LB,2,BUF,15,1,7,7,54.4,67.7,22.2,60.0,45.3,0,0,0,0,0,0,0,1,0,0,1,1,7,7.0,4,7,0,0,0,95.8,0,0
Niko Koutouvides,1837,LB,5,SEA,43,7,15,21,64.4,63.2,48.9,49.8,67.1,0,0,0,0,0,3,0,1,1,0,4,2,16,8.0,3,9,0,0,1,60.4,0,0
Robert Geathers,1838,ED,16,CIN,975,523,404,48,68.5,71.6,50.4,62.8,53.9,56,4,13,39,1,32,13,8,23,1,6,6,60,10.0,43,17,0,1,1,68.8,2,0
Anthony Maddox,1839,DI,16,HST,327,198,123,6,48.8,45.1,49.9,62.2,56.7,13,2,0,11,1,7,8,2,5,0,2,2,10,5.0,9,6,0,0,0,87.5,2,0
Jason David,1846,CB,13,NO,753,0,289,464,57.9,70.7,67.2,,55.5,0,0,0,0,0,51,4,6,15,2,82,57,850,14.9,268,80,9,2,6,129.6,3,0
Jared Allen,1847,ED,14,KC,872,448,417,7,81.6,71.4,61.5,81.6,55.7,56,17,13,26,11,42,9,8,47,3,1,0,0,,0,,0,0,0,39.6,2,0
J.R. Reed,1850,S,9,PHI,284,14,106,164,65.1,64.5,76.9,37.3,65.5,2,0,0,2,0,18,3,2,6,0,14,11,95,8.6,21,21,1,0,2,118.8,0,0
Brandon Chillar,1851,LB,15,STR,806,133,362,311,64.4,54.6,81.6,61.0,75.3,14,3,4,7,1,47,10,5,29,3,32,23,190,8.3,124,23,1,0,2,97.1,1,0
Antonio Smith,1856,DI,16,ARZ,876,547,325,4,71.2,72.6,62.3,64.2,70.2,45,7,6,32,0,37,3,3,34,1,3,3,23,7.7,22,12,0,0,0,98.6,5,1
Gibril Wilson,1857,S,13,NYG,813,45,310,458,70.0,85.2,90.2,60.4,62.5,5,0,1,4,1,62,14,5,21,0,32,16,170,10.6,64,50,2,4,1,47.1,1,0
Alex Lewis,1861,LB,11,DET,130,7,62,61,45.3,54.9,47.8,53.4,41.6,1,0,0,1,0,12,3,4,5,1,17,16,184,11.5,85,42,0,0,0,111.8,1,1
Erik Coleman,1864,S,11,NYJ,333,8,166,159,57.8,76.8,83.0,60.9,48.5,1,0,0,1,0,20,15,2,8,0,4,4,39,9.8,27,23,1,0,0,146.9,1,0
Jeff Shoate,1871,CB,7,DEN,87,3,28,56,34.8,48.0,62.7,56.0,42.4,1,0,1,0,0,9,1,2,2,0,9,9,111,12.3,48,21,0,0,0,118.1,2,0
Roderick Green,1872,ED,7,SF,133,116,15,2,55.7,67.0,69.9,55.7,60.2,10,1,1,8,0,1,0,1,2,0,0,0,0,,0,,0,0,0,0.0,1,0
Amon Gordon,1879,DI,4,BLT,16,5,11,0,59.9,58.3,74.2,58.4,60.0,2,0,1,1,0,9,3,0,7,0,0,0,0,,0,,0,0,0,0.0,0,0
Amon Gordon,1879,DI,4,DEN,159,59,100,0,59.9,58.3,74.2,58.4,60.0,2,0,1,1,0,9,3,0,7,0,0,0,0,,0,,0,0,0,0.0,0,0
Von Hutchins,1891,S,16,HST,973,14,383,576,41.6,48.2,50.0,54.7,40.4,1,1,0,0,0,69,14,18,12,0,63,51,601,11.8,238,43,5,1,2,126.3,0,0
Corey Williams,1897,DI,16,GB,654,412,240,2,67.6,70.5,77.2,63.4,56.7,25,7,6,12,0,16,8,0,20,3,1,0,0,,0,,0,1,0,0.0,0,0
Craig Terrill,1907,DI,16,SEA,547,336,208,3,74.2,66.0,76.0,73.7,59.6,31,0,2,29,1,20,1,2,19,0,0,0,0,,0,,0,0,0,0.0,1,0
Dexter Wynn,1909,CB,5,HST,91,0,19,72,65.7,69.9,81.5,,64.1,0,0,0,0,0,6,1,0,2,0,15,7,113,16.1,35,48,0,0,3,72.4,0,0
Keith Lewis,1914,S,4,SF,34,2,4,28,41.8,66.9,79.1,55.4,41.8,0,0,0,0,0,1,1,0,1,0,3,2,77,38.5,60,62,0,0,0,109.7,0,0
Charlie Anderson,1916,LB,13,HST,229,24,114,91,71.5,64.4,61.5,73.1,70.8,6,2,1,3,0,16,5,4,8,0,13,9,56,6.2,39,12,0,0,2,77.7,0,0
Ryon Bingham,1920,DI,16,SD,435,256,179,0,67.1,74.8,73.5,47.1,77.7,8,2,2,4,0,24,9,2,18,0,0,0,0,,0,,0,0,0,0.0,1,0
Nathan Jones,1921,CB,10,DAL,160,21,15,124,80.6,64.3,84.7,80.5,77.3,6,1,3,2,0,13,0,0,9,1,16,12,142,11.8,89,43,1,0,0,122.4,0,0
Derrick Pope,1937,LB,12,MIA,496,34,281,181,56.2,44.3,61.5,58.4,75.8,2,0,2,0,0,42,14,7,20,0,16,7,114,16.3,83,29,0,2,1,28.6,3,1
Jacques Reeves,1938,CB,16,DAL,880,0,286,594,47.2,69.9,64.1,,44.8,0,0,0,0,0,56,5,5,9,1,110,63,814,12.9,234,69,5,1,6,92.0,3,0
Trevor Johnson,1948,ED,9,STR,104,55,48,1,59.0,68.3,74.2,52.8,58.6,2,1,0,1,0,5,2,0,4,0,1,1,14,14.0,6,14,0,0,0,118.8,0,0
Rashad Washington,1950,S,1,NYJ,1,0,1,0,60.0,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Bobby McCray,1963,ED,14,JAX,509,311,180,18,62.6,64.7,64.1,60.0,63.3,27,3,12,12,1,9,4,2,10,1,4,3,4,1.3,6,5,0,0,0,77.1,3,0
Mike Adams,1972,S,10,CLV,147,9,28,110,89.0,70.1,87.3,86.0,80.1,2,1,0,1,0,10,0,0,3,0,4,0,0,,0,,0,0,2,39.6,0,0
Eric Alexander,1973,LB,5,NE,12,0,4,8,39.9,67.0,79.1,,35.3,0,0,0,0,0,3,1,0,0,0,3,2,24,12.0,6,13,0,0,0,91.0,0,0
Jordan Babineaux,1980,CB,16,SEA,456,43,88,325,80.0,86.2,87.4,73.6,74.8,5,1,4,0,0,47,4,2,17,3,49,41,382,9.3,138,41,2,1,1,104.3,0,0
Rashad Baker,1981,S,6,NE,96,1,24,71,53.5,60.8,58.7,59.5,54.1,0,0,0,0,0,6,0,1,1,0,3,3,46,15.3,13,27,0,0,1,118.8,0,0
Ryan Boschetti,1991,DI,1,WAS,1,0,1,0,61.2,60.3,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Josh Cooper,2015,ED,13,NO,319,200,109,10,52.9,60.7,74.2,47.7,60.5,13,1,2,10,0,8,2,2,7,1,4,2,68,34.0,54,46,0,0,0,95.8,0,0
Curome Cox,2018,S,4,DEN,87,4,45,38,45.3,61.7,80.2,50.8,44.9,0,0,0,0,0,2,2,0,0,0,4,3,65,21.7,49,36,0,0,0,116.7,0,0
Curtis Deloatch,2032,CB,4,CAR,13,0,1,12,89.2,60.0,72.8,,84.7,0,0,0,0,0,1,0,0,1,0,3,1,5,5.0,0,5,0,0,1,42.4,0,0
Ryan Fowler,2047,LB,14,TEN,535,12,269,254,65.0,66.4,83.5,73.5,58.5,2,0,1,1,1,40,8,1,22,0,24,15,125,8.3,79,22,2,0,0,103.6,0,0
Randall Gay,2050,CB,16,NE,504,4,146,354,79.6,61.5,82.6,50.7,80.4,0,0,0,0,0,28,4,2,10,1,54,29,280,9.7,91,22,4,3,5,70.0,0,0
Jabari Greer,2057,CB,15,BUF,858,1,331,526,79.5,81.7,38.7,60.0,76.9,0,0,0,0,0,42,5,9,11,1,81,44,577,13.1,203,59,5,2,9,87.3,2,0
Eddie Jackson,2079,CB,2,NE,19,1,5,13,47.1,61.4,,59.0,46.0,1,0,0,1,0,0,0,0,0,0,3,2,41,20.5,11,28,1,0,0,149.3,0,0
Spencer Johnson,2084,DI,16,MIN,451,316,125,10,55.7,54.8,75.8,55.5,61.3,19,3,6,10,0,16,4,0,14,1,0,0,0,,0,,0,0,0,0.0,1,0
Tommy Kelly,2093,ED,7,OAK,316,167,149,0,77.0,79.8,58.4,66.3,60.0,18,1,5,12,1,24,5,2,21,0,0,0,0,,0,,0,0,0,0.0,2,0
Benny Sapp,2170,CB,14,KC,362,5,141,216,56.4,68.7,54.4,48.7,60.2,1,0,0,1,0,24,3,5,8,1,39,23,248,10.8,102,26,0,1,0,67.0,5,2
Rich Scanlon,2174,LB,3,TEN,3,0,3,0,62.6,60.7,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Josh Thomas,2194,ED,15,IND,523,270,253,0,63.9,63.2,77.5,60.9,60.9,27,1,4,22,3,18,10,2,11,1,0,0,0,,0,,0,0,0,0.0,2,0
George Wilson,2210,S,9,BUF,533,2,199,332,47.9,60.4,64.9,60.0,41.8,1,0,1,0,0,30,9,5,3,0,21,13,247,19.0,66,43,2,2,1,94.8,0,0
Jamaine Winborne,2211,S,7,BLT,79,8,19,52,47.7,72.0,82.5,59.8,43.2,3,0,1,2,0,6,0,0,2,0,9,4,104,26.0,66,64,1,0,2,124.3,1,0
Antrel Rolle,2225,CB,16,ARZ,700,7,227,466,76.0,81.1,63.5,61.2,76.2,2,0,1,1,0,47,11,8,12,0,71,52,702,13.5,363,74,3,5,1,89.1,4,1
Carlos Rogers,2226,CB,7,WAS,396,0,138,258,77.1,70.5,49.9,,77.8,0,0,0,0,0,19,2,4,8,0,35,17,188,11.1,92,43,2,1,4,72.1,3,0
DeMarcus Ware,2228,ED,16,DAL,1007,539,359,109,89.9,91.2,85.5,79.8,77.4,78,16,17,45,1,60,4,3,53,4,8,5,50,10.0,26,14,0,0,2,80.2,8,0
Shawne Merriman,2229,ED,15,SD,836,411,344,81,81.6,85.1,68.8,70.2,71.2,45,11,6,28,5,36,11,4,38,2,7,5,26,5.2,44,11,0,0,1,77.1,4,0
Thomas Davis,2231,LB,16,CAR,1015,111,449,455,65.8,58.4,78.2,82.2,67.5,18,3,11,4,0,71,14,7,36,2,55,38,411,10.8,211,56,2,1,3,95.3,6,0
Derrick Johnson,2232,LB,16,KC,997,113,478,406,71.6,66.6,49.9,84.9,69.9,28,7,2,19,2,83,12,19,54,3,59,45,297,6.6,209,18,1,2,1,78.1,4,0
Travis Johnson,2233,DI,15,HST,467,216,239,12,54.5,61.0,77.5,56.8,61.6,5,0,1,4,4,27,11,1,22,0,2,2,19,9.5,9,11,1,1,0,106.3,6,0
Erasmus James,2235,ED,6,MIN,136,99,36,1,55.9,58.2,73.0,51.8,64.0,7,1,1,5,0,4,1,1,3,0,0,0,0,,0,,0,0,0,0.0,0,0
Marcus Spears,2237,DI,16,DAL,444,223,220,1,78.7,81.2,71.5,64.1,60.9,15,3,0,12,3,27,3,3,25,2,0,0,0,,0,,0,0,0,0.0,1,0
