,player,year,school,conference,team_year_url,class,pos,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,losses,rank,wins
451,Jarrad Page,2003,UCLA,Pac-10,https://www.sports-reference.com/cfb/schools/ucla/2003.html,SO,DB,12,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,3,53,17.7,1,,,,,,,,,,,,,,7.0,67.0,6.0
452,Jarrad Page,2004,UCLA,Pac-10,https://www.sports-reference.com/cfb/schools/ucla/2004.html,JR,DB,12,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,3,20,6.7,0,,,,,,3,55,18.3,0,,,,,6.0,55.0,6.0
453,Jarrad Page,2005,UCLA,Pac-10,https://www.sports-reference.com/cfb/schools/ucla/2005.html,SR,DB,12,,,,,,,,,,1,38,38.0,0,,,,,1,38,38.0,0,53,19,72,7.0,1.0,1,0,0.0,0,,,,,,,,,,,,,,2.0,8.0,10.0
454,Willie Andrews,2002,Baylor,Big 12,https://www.sports-reference.com/cfb/schools/baylor/2002.html,FR,DB,12,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,1,27,27.0,0,,,,,,,,,,,,,,9.0,95.0,3.0
455,Willie Andrews,2003,Baylor,Big 12,https://www.sports-reference.com/cfb/schools/baylor/2003.html,SO,DB,12,,,,,,,,,,1,7,7.0,0,,,,,1,7,7.0,0,,,,,,2,24,12.0,0,,,30,1,,29,232,8.0,0,26,641,24.7,0,9.0,95.0,3.0
456,Willie Andrews,2004,Baylor,Big 12,https://www.sports-reference.com/cfb/schools/baylor/2004.html,JR,DB,11,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,0,0,,0,,,,,,41,443,10.8,0,30,741,24.7,0,8.0,96.0,3.0
457,Willie Andrews,2005,Baylor,Big 12,https://www.sports-reference.com/cfb/schools/baylor/2005.html,SR,DB,11,,,,,,,,,,,,,,,,,,0,0,,0,36,23,59,7.5,2.0,0,0,,0,,,,,,27,274,10.1,0,11,265,24.1,0,6.0,65.0,5.0
458,Bennie Brazell,2002,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2002.html,FR,WR,8,,,,,,,,,,,,,,3,28,9.3,0,3,28,9.3,0,,,,,,0,0,,0,,,,,,,,,,,,,,5.0,36.0,8.0
459,Bennie Brazell,2003,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2003.html,SO,WR,9,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,0,0,,0,,,,,,,,,,1,40,40.0,0,1.0,1.0,13.0
460,Bennie Brazell,2004,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2004.html,JR,WR,8,,,,,,,,,,,,,,1,20,20.0,0,1,20,20.0,0,,,,,,0,0,,0,,,,,,,,,,,,,,3.0,14.0,9.0
461,Bennie Brazell,2005,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2005.html,SR,WR,13,,,,,,,,,,,,,,13,292,22.5,3,13,292,22.5,3,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,2.0,6.0,11.0
462,Gerrick McPhearson,2002,Maryland,ACC,https://www.sports-reference.com/cfb/schools/maryland/2002.html,FR,DB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,14.0,0,,,,,,,,,,,,,,3.0,13.0,11.0
463,Gerrick McPhearson,2005,Maryland,ACC,https://www.sports-reference.com/cfb/schools/maryland/2005.html,SR,DB,11,,,,,,,,,,,,,,,,,,,,,,26,11,37,0.5,0.0,0,0,,0,6,1,5,0,1,,,,,,,,,6.0,65.0,5.0
464,Devin Aromashodu,2002,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2002.html,FR,WR,13,,,,,,,,,,1,6,6.0,0,18,304,16.9,1,19,310,16.3,1,,,,,,0,0,,0,,,,,,,,,,,,,,4.0,23.0,9.0
465,Devin Aromashodu,2003,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2003.html,SO,WR,13,,,,,,,,,,,,,,3,22,7.3,0,3,22,7.3,0,,,,,,0,0,,0,,,,,,,,,,15,290,19.3,0,5.0,38.0,8.0
466,Devin Aromashodu,2004,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2004.html,JR,WR,13,,,,,,,,,,,,,,24,513,21.4,4,24,513,21.4,4,,,,,,0,0,,0,,,,,,,,,,3,85,28.3,0,0.0,1.0,13.0
467,Devin Aromashodu,2005,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2005.html,SR,WR,12,,,,,,,,,,,,,,26,494,19.0,4,26,494,19.0,4,0,1,1,0.0,0.0,0,0,,0,,,,,,,,,,20,485,24.3,0,3.0,14.0,9.0
468,Justin Phinisee,2002,Oregon,Pac-10,https://www.sports-reference.com/cfb/schools/oregon/2002.html,FR,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,7,205,29.3,0,6.0,53.0,7.0
469,Justin Phinisee,2003,Oregon,Pac-10,https://www.sports-reference.com/cfb/schools/oregon/2003.html,SO,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,4.0,0,,,,,,8,59,7.4,0,15,356,23.7,0,5.0,38.0,8.0
470,Justin Phinisee,2004,Oregon,Pac-10,https://www.sports-reference.com/cfb/schools/oregon/2004.html,JR,DB,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2.0,0,,,,,,17,261,15.4,1,,,,,6.0,63.0,5.0
471,Justin Phinisee,2005,Oregon,Pac-10,https://www.sports-reference.com/cfb/schools/oregon/2005.html,SR,DB,12,,,,,,,,,,,,,,,,,,,,,,53,13,66,1.0,0.0,4,206,51.5,0,,,,,,25,289,11.6,1,2,37,18.5,0,2.0,8.0,10.0
472,Stanley McClover,2005,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2005.html,JR,DL,10,,,,,,,,,,,,,,,,,,,,,,21,10,31,13.5,8.0,,,,,3,0,0,0,1,,,,,,,,,3.0,14.0,9.0
473,T.J. Rushing,2002,Stanford,Pac-10,https://www.sports-reference.com/cfb/schools/stanford/2002.html,FR,DB,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,77,38.5,0,,,,,,,,,,,,,,9.0,106.0,2.0
474,T.J. Rushing,2003,Stanford,Pac-10,https://www.sports-reference.com/cfb/schools/stanford/2003.html,SO,DB,11,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,8,181,22.6,0,7.0,84.0,4.0
475,T.J. Rushing,2004,Stanford,Pac-10,https://www.sports-reference.com/cfb/schools/stanford/2004.html,JR,DB,11,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,23,653,28.4,1,7.0,80.0,4.0
476,T.J. Rushing,2005,Stanford,Pac-10,https://www.sports-reference.com/cfb/schools/stanford/2005.html,SR,DB,11,,,,,,,,,,,,,,,,,,,,,,37,11,48,0.5,0.0,2,19,9.5,0,,,,,,14,128,9.1,0,21,575,27.4,2,6.0,65.0,5.0
477,Cedric Humes,2002,Virginia Tech,Big East,https://www.sports-reference.com/cfb/schools/virginia-tech/2002.html,FR,RB,12,,,,,,,,,,16,68,4.3,0,7,76,10.9,0,23,144,6.3,0,,,,,,,,,,,,,,,,,,,1,16,16.0,0,4.0,20.0,10.0
478,Cedric Humes,2003,Virginia Tech,Big East,https://www.sports-reference.com/cfb/schools/virginia-tech/2003.html,SO,RB,13,,,,,,,,,,65,380,5.8,5,4,31,7.8,0,69,411,6.0,5,,,,,,,,,,,,,,,,,,,16,268,16.8,0,5.0,38.0,8.0
479,Cedric Humes,2004,Virginia Tech,ACC,https://www.sports-reference.com/cfb/schools/virginia-tech/2004.html,JR,RB,13,,,,,,,,,,130,605,4.7,5,8,46,5.8,0,138,651,4.7,5,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,10.0
480,Cedric Humes,2005,Virginia Tech,ACC,https://www.sports-reference.com/cfb/schools/virginia-tech/2005.html,SR,RB,12,,,,,,,,,,162,752,4.6,11,10,71,7.1,0,172,823,4.8,11,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,11.0
481,Charles Bennett,2004,Clemson,ACC,https://www.sports-reference.com/cfb/schools/clemson/2004.html,JR,DL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,21.5,0,,,,,,,,,,,,,,5.0,52.0,6.0
482,Charles Bennett,2005,Clemson,ACC,https://www.sports-reference.com/cfb/schools/clemson/2005.html,SR,DL,12,,,,,,,,,,,,,,,,,,,,,,29,14,43,14.5,4.0,1,5,5.0,0,,,,,,,,,,,,,,4.0,25.0,8.0
483,Tim Massaquoi,2002,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2002.html,FR,TE,13,,,,,,,,,,,,,,2,20,10.0,0,2,20,10.0,0,,,,,,,,,,,,,,,,,,,,,,,3.0,15.0,10.0
484,Tim Massaquoi,2003,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2003.html,SO,TE,13,,,,,,,,,,,,,,15,199,13.3,2,15,199,13.3,2,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,10.0
485,Tim Massaquoi,2004,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2004.html,SR,TE,12,,,,,,,,,,,,,,18,184,10.2,0,18,184,10.2,0,,,,,,,,,,,,,,,,,,,,,,,3.0,14.0,9.0
486,Tim Massaquoi,2005,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2005.html,SR,TE,10,,,,,,,,,,,,,,11,86,7.8,0,11,86,7.8,0,,,,,,,,,,,,,,,,,,,,,,,5.0,37.0,7.0
487,Spencer Toone,2004,Utah,MWC,https://www.sports-reference.com/cfb/schools/utah/2004.html,JR,LB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,1,0,0.0,0,0.0,1.0,12.0
488,Spencer Toone,2005,Utah,MWC,https://www.sports-reference.com/cfb/schools/utah/2005.html,SR,LB,12,,,,,,,,,,,,,,,,,,,,,,52,61,113,5.0,2.5,0,0,,0,,,,,,,,,,1,0,0.0,0,5.0,37.0,7.0
489,Quinton Ganther,2004,Utah,MWC,https://www.sports-reference.com/cfb/schools/utah/2004.html,JR,RB,12,0,1,0.0,0,0.0,0.0,0,0,0.0,109,654,6.0,2,7,49,7.0,1,116,703,6.1,3,,,,,,0,0,,0,,,,,,,,,,1,28,28.0,0,0.0,1.0,12.0
490,Quinton Ganther,2005,Utah,MWC,https://www.sports-reference.com/cfb/schools/utah/2005.html,SR,RB,11,0,1,0.0,0,0.0,0.0,0,0,0.0,205,1120,5.5,7,25,314,12.6,1,230,1434,6.2,8,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,5.0,37.0,7.0
491,Anthony Cannon,2004,Tulane,CUSA,https://www.sports-reference.com/cfb/schools/tulane/2004.html,JR,LB,11,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,1,16,16.0,0,,,,,,,,,,,,,,6.0,63.0,5.0
492,Anthony Cannon,2005,Tulane,CUSA,https://www.sports-reference.com/cfb/schools/tulane/2005.html,SR,LB,10,,,,,,,,,,,,,,1,28,28.0,0,1,28,28.0,0,65,49,114,12.5,2.5,0,0,,0,,,,,,,,,,,,,,9.0,106.0,2.0
493,Ben Obomanu,2002,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2002.html,FR,WR,13,,,,,,,,,,,,,,17,224,13.2,3,17,224,13.2,3,,,,,,0,0,,0,,,,,,,,,,,,,,4.0,23.0,9.0
494,Ben Obomanu,2003,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2003.html,SO,WR,13,,,,,,,,,,,,,,22,373,17.0,3,22,373,17.0,3,,,,,,0,0,,0,,,,,,,,,,,,,,5.0,38.0,8.0
495,Ben Obomanu,2004,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2004.html,JR,WR,13,,,,,,,,,,1,7,7.0,0,25,359,14.4,7,26,366,14.1,7,,,,,,0,0,,0,,,,,,,,,,,,,,0.0,1.0,13.0
496,Ben Obomanu,2005,Auburn,SEC,https://www.sports-reference.com/cfb/schools/auburn/2005.html,SR,WR,12,,,,,,,,,,7,147,21.0,2,33,357,10.8,5,40,504,12.6,7,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,3.0,14.0,9.0
497,Kevin Simon,2002,Tennessee,SEC,https://www.sports-reference.com/cfb/schools/tennessee/2002.html,FR,LB,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,0,1,,,,,,,,,,5.0,36.0,8.0
498,Kevin Simon,2003,Tennessee,SEC,https://www.sports-reference.com/cfb/schools/tennessee/2003.html,SO,LB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.0,0,,,,,,,,,,,,,,3.0,13.0,10.0
499,Kevin Simon,2005,Tennessee,SEC,https://www.sports-reference.com/cfb/schools/tennessee/2005.html,SR,LB,11,,,,,,,,,,,,,,,,,,,,,,40,48,88,4.0,1.0,0,0,,0,5,0,0,0,1,,,,,,,,,6.0,65.0,5.0
500,David Anderson,2002,Colorado State,MWC,https://www.sports-reference.com/cfb/schools/colorado-state/2002.html,FR,WR,10,,,,,,,,,,,,,,8,180,22.5,1,8,180,22.5,1,,,,,,0,0,,0,,,,,,1,6,6.0,0,,,,,4.0,20.0,10.0
501,David Anderson,2003,Colorado State,MWC,https://www.sports-reference.com/cfb/schools/colorado-state/2003.html,SO,WR,13,,,,,,,,,,,,,,72,1293,18.0,9,72,1293,18.0,9,,,,,,0,0,,0,,,,,,3,16,5.3,0,13,174,13.4,0,6.0,57.0,7.0
502,David Anderson,2004,Colorado State,MWC,https://www.sports-reference.com/cfb/schools/colorado-state/2004.html,JR,WR,11,1,1,100.0,34,34.0,54.0,1,0,715.6,1,-5,-5.0,0,57,940,16.5,2,58,935,16.1,2,,,,,,0,0,,0,,,,,,20,69,3.5,0,2,46,23.0,0,7.0,80.0,4.0
503,David Anderson,2005,Colorado State,MWC,https://www.sports-reference.com/cfb/schools/colorado-state/2005.html,SR,WR,12,0,1,0.0,0,0.0,0.0,0,0,0.0,3,23,7.7,0,86,1221,14.2,8,89,1244,14.0,8,0,1,1,0.0,0.0,0,0,,0,,,,,,1,27,27.0,0,,,,,6.0,60.0,6.0
504,Vickiel Vaughn,2003,Arkansas,SEC,https://www.sports-reference.com/cfb/schools/arkansas/2003.html,SO,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.0,0,,,,,,,,,,,,,,4.0,25.0,9.0
505,Vickiel Vaughn,2004,Arkansas,SEC,https://www.sports-reference.com/cfb/schools/arkansas/2004.html,JR,DB,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,92,46.0,1,,,,,,,,,,,,,,6.0,63.0,5.0
506,Vickiel Vaughn,2005,Arkansas,SEC,https://www.sports-reference.com/cfb/schools/arkansas/2005.html,SR,DB,11,,,,,,,,,,,,,,,,,,,,,,46,20,66,2.0,0.0,4,13,3.3,0,,,,,,,,,,,,,,7.0,85.0,4.0
507,JaMarcus Russell,2004,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2004.html,SO,QB,11,73,144,50.7,1053,7.3,7.3,9,4,127.2,26,-41,-1.6,1,,,,,26,-41,-1.6,1,,,,,,0,0,,0,,,,,,,,,,,,,,3.0,14.0,9.0
508,JaMarcus Russell,2005,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2005.html,JR,QB,12,188,311,60.5,2443,7.9,7.5,15,9,136.6,61,-22,-0.4,2,,,,,61,-22,-0.4,2,4,0,4,0.0,0.0,0,0,,0,,,,,,,,,,,,,,2.0,6.0,11.0
509,JaMarcus Russell,2006,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2006.html,JR,QB,13,232,342,67.8,3129,9.1,9.7,28,8,167.0,52,142,2.7,1,,,,,52,142,2.7,1,,,,,,0,0,,0,,,,,,,,,,,,,,2.0,6.0,11.0
510,Calvin Johnson,2004,Georgia Tech,ACC,https://www.sports-reference.com/cfb/schools/georgia-tech/2004.html,FR,WR,12,,,,,,,,,,3,10,3.3,1,48,837,17.4,7,51,847,16.6,8,,,,,,0,0,,0,,,,,,,,,,,,,,5.0,37.0,7.0
511,Calvin Johnson,2005,Georgia Tech,ACC,https://www.sports-reference.com/cfb/schools/georgia-tech/2005.html,SO,WR,12,,,,,,,,,,,,,,54,888,16.4,6,54,888,16.4,6,2,0,2,0.0,0.0,0,0,,0,,,,,,,,,,,,,,5.0,37.0,7.0
512,Calvin Johnson,2006,Georgia Tech,ACC,https://www.sports-reference.com/cfb/schools/georgia-tech/2006.html,JR,WR,14,1,1,100.0,7,7.0,7.0,0,0,158.8,7,30,4.3,0,76,1202,15.8,15,83,1232,14.8,15,,,,,,0,0,,0,,,,,,,,,,,,,,5.0,34.0,9.0
513,Gaines Adams,2004,Clemson,ACC,https://www.sports-reference.com/cfb/schools/clemson/2004.html,SO,DL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,2,14,7.0,0,,,,,5.0,52.0,6.0
514,Gaines Adams,2005,Clemson,ACC,https://www.sports-reference.com/cfb/schools/clemson/2005.html,JR,DL,12,,,,,,,,,,,,,,,,,,,,,,26,19,45,11.0,8.5,0,0,,0,5,0,0,0,3,0,0,,0,0,0,,0,4.0,25.0,8.0
515,Gaines Adams,2006,Clemson,ACC,https://www.sports-reference.com/cfb/schools/clemson/2006.html,SR,DL,13,,,,,,,,,,,,,,,,,,,,,,33,18,51,16.5,12.5,0,0,,0,6,3,85,1,2,0,0,,0,0,0,,0,5.0,38.0,8.0
516,Laron Landry,2003,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2003.html,FR,DB,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,0,,,,,,,,,,,,,,1.0,1.0,13.0
517,Laron Landry,2004,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2004.html,SO,DB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4,51,12.8,0,,,,,,,,,,,,,,3.0,14.0,9.0
518,Laron Landry,2005,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2005.html,JR,DB,12,,,,,,,,,,,,,,,,,,,,,,42,27,69,4.0,1.0,3,42,14.0,0,,,,,,,,,,,,,,2.0,6.0,11.0
519,Laron Landry,2006,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2006.html,SR,DB,13,,,,,,,,,,,,,,,,,,,,,,46,28,74,3.5,1.0,3,58,19.3,0,,,,,,1,9,9.0,0,,,,,2.0,6.0,11.0
520,Adrian Peterson,2004,Oklahoma,Big 12,https://www.sports-reference.com/cfb/schools/oklahoma/2004.html,FR,RB,13,,,,,,,,,,339,1925,5.7,15,5,12,2.4,0,344,1937,5.6,15,,,,,,0,0,,0,,,,,,,,,,,,,,1.0,4.0,12.0
521,Adrian Peterson,2005,Oklahoma,Big 12,https://www.sports-reference.com/cfb/schools/oklahoma/2005.html,SO,RB,11,,,,,,,,,,221,1104,5.0,14,9,50,5.6,0,230,1154,5.0,14,,,,,,0,0,,0,,,,,,,,,,,,,,4.0,25.0,8.0
522,Adrian Peterson,2006,Oklahoma,Big 12,https://www.sports-reference.com/cfb/schools/oklahoma/2006.html,JR,RB,7,,,,,,,,,,188,1012,5.4,12,10,136,13.6,1,198,1148,5.8,13,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,7,162,23.1,0,3.0,14.0,11.0
523,Jamaal Anderson,2005,Arkansas,SEC,https://www.sports-reference.com/cfb/schools/arkansas/2005.html,SO,DL,11,,,,,,,,,,,,,,,,,,,,,,26,10,36,11.0,3.5,,,,,1,0,0,0,1,,,,,,,,,7.0,85.0,4.0
524,Jamaal Anderson,2006,Arkansas,SEC,https://www.sports-reference.com/cfb/schools/arkansas/2006.html,JR,DL,14,,,,,,,,,,,,,,,,,,,,,,32,14,46,20.0,13.5,,,,,4,0,0,0,1,,,,,,,,,4.0,22.0,10.0
525,Ted Ginn Jr.,2004,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2004.html,FR,WR,12,,,,,,,,,,13,113,8.7,2,25,359,14.4,2,38,472,12.4,4,,,,,,0,0,,0,,,,,,15,384,25.6,4,2,40,20.0,0,4.0,26.0,8.0
526,Ted Ginn Jr.,2005,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2005.html,SO,WR,12,,,,,,,,,,12,83,6.9,1,51,803,15.7,4,63,886,14.1,5,,,,,,0,0,,0,,,,,,25,250,10.0,1,18,532,29.6,1,2.0,8.0,10.0
527,Ted Ginn Jr.,2006,Ohio State,Big Ten,https://www.sports-reference.com/cfb/schools/ohio-state/2006.html,JR,WR,13,1,2,50.0,38,19.0,29.0,1,0,374.6,3,17,5.7,0,59,781,13.2,9,62,798,12.9,9,1,0,1,0.0,0.0,0,0,,0,,,,,,24,266,11.1,1,18,440,24.4,1,1.0,3.0,12.0
528,Amobi Okoye,2005,Louisville,Big East,https://www.sports-reference.com/cfb/schools/louisville/2005.html,JR,DL,11,,,,,,,,,,,,,,,,,,,,,,11,12,23,4.0,0.5,,,,,0,0,0,0,0,,,,,,,,,3.0,14.0,9.0
529,Amobi Okoye,2006,Louisville,Big East,https://www.sports-reference.com/cfb/schools/louisville/2006.html,SR,DL,13,,,,,,,,,,,,,,,,,,,,,,39,15,54,12.5,8.0,,,,,1,0,0,0,2,,,,,,,,,1.0,3.0,12.0
530,Patrick Willis,2004,Ole Miss,SEC,https://www.sports-reference.com/cfb/schools/mississippi/2004.html,SO,LB,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,1,-1,-1.0,0,7.0,80.0,4.0
531,Patrick Willis,2005,Ole Miss,SEC,https://www.sports-reference.com/cfb/schools/mississippi/2005.html,JR,LB,10,,,,,,,,,,,,,,,,,,,,,,90,38,128,9.5,3.0,1,0,0.0,0,,,,,,,,,,,,,,8.0,100.0,3.0
532,Patrick Willis,2006,Ole Miss,SEC,https://www.sports-reference.com/cfb/schools/mississippi/2006.html,SR,LB,12,,,,,,,,,,,,,,,,,,,,,,87,50,137,11.5,3.0,0,0,,0,7,1,2,0,2,0,0,,0,0,0,,0,8.0,83.0,4.0
533,Marshawn Lynch,2004,California,Pac-10,https://www.sports-reference.com/cfb/schools/california/2004.html,FR,RB,12,2,2,100.0,34,17.0,27.0,1,0,407.8,71,628,8.8,8,19,147,7.7,2,90,775,8.6,10,,,,,,0,0,,0,,,,,,,,,,15,372,24.8,0,2.0,8.0,10.0
534,Marshawn Lynch,2005,California,Pac-10,https://www.sports-reference.com/cfb/schools/california/2005.html,SO,RB,10,1,2,50.0,21,10.5,20.5,1,0,303.2,196,1246,6.4,10,15,125,8.3,0,211,1371,6.5,10,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,13,271,20.8,0,4.0,25.0,8.0
535,Marshawn Lynch,2006,California,Pac-10,https://www.sports-reference.com/cfb/schools/california/2006.html,JR,RB,13,,,,,,,,,,223,1356,6.1,11,34,328,9.6,4,257,1684,6.6,15,2,0,2,0.0,0.0,0,0,,0,,,,,,,,,,5,101,20.2,0,3.0,17.0,10.0
536,Adam Carriker,2005,Nebraska,Big 12,https://www.sports-reference.com/cfb/schools/nebraska/2005.html,JR,DL,12,,,,,,,,,,,,,,,,,,,,,,26,17,43,14.5,9.5,0,0,,0,3,0,0,0,0,,,,,,,,,4.0,25.0,8.0
537,Adam Carriker,2006,Nebraska,Big 12,https://www.sports-reference.com/cfb/schools/nebraska/2006.html,SR,DL,14,,,,,,,,,,,,,,,,,,,,,,24,28,52,14.0,7.0,1,-3,-3.0,0,,,,,,,,,,,,,,5.0,34.0,9.0
538,Darrelle Revis,2004,Pitt,Big East,https://www.sports-reference.com/cfb/schools/pittsburgh/2004.html,FR,DB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,0,,,,,,4,41,10.3,0,,,,,4.0,26.0,8.0
539,Darrelle Revis,2005,Pitt,Big East,https://www.sports-reference.com/cfb/schools/pittsburgh/2005.html,SO,DB,11,,,,,,,,,,,,,,,,,,,,,,33,8,41,1.0,0.0,4,12,3.0,0,,,,,,28,324,11.6,1,,,,,6.0,65.0,5.0
540,Darrelle Revis,2006,Pitt,Big East,https://www.sports-reference.com/cfb/schools/pittsburgh/2006.html,JR,DB,12,,,,,,,,,,,,,,,,,,,,,,33,6,39,4.0,0.0,2,76,38.0,2,,,,,,22,190,8.6,1,,,,,6.0,61.0,6.0
541,Lawrence Timmons,2005,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2005.html,SO,LB,13,,,,,,,,,,,,,,,,,,,,,,17,18,35,3.5,3.0,0,0,,0,,,,,,2,69,34.5,0,,,,,5.0,34.0,8.0
542,Lawrence Timmons,2006,Florida State,ACC,https://www.sports-reference.com/cfb/schools/florida-state/2006.html,JR,LB,13,,,,,,,,,,,,,,,,,,,,,,42,37,79,18.0,5.0,1,22,22.0,1,,,36,1,,0,25,,1,,,,,6.0,50.0,7.0
543,Justin Harrell,2005,Tennessee,SEC,https://www.sports-reference.com/cfb/schools/tennessee/2005.html,JR,DL,11,,,,,,,,,,,,,,,,,,,,,,21,18,39,8.0,2.5,2,36,18.0,1,,,,,,,,,,,,,,6.0,65.0,5.0
544,Justin Harrell,2006,Tennessee,SEC,https://www.sports-reference.com/cfb/schools/tennessee/2006.html,SR,DL,3,,,,,,,,,,,,,,,,,,,,,,3,4,7,1.0,0.0,0,0,,0,0,0,0,0,0,,,,,,,,,4.0,26.0,9.0
545,Jarvis Moss,2005,Florida,SEC,https://www.sports-reference.com/cfb/schools/florida/2005.html,SO,DL,11,,,,,,,,,,,,,,,,,,,,,,17,8,25,11.0,7.5,,,,,2,0,0,0,1,,,,,,,,,3.0,14.0,9.0
546,Jarvis Moss,2006,Florida,SEC,https://www.sports-reference.com/cfb/schools/florida/2006.html,JR,DL,13,,,,,,,,,,,,,,,,,,,,,,44,12,56,11.0,7.5,,,,,4,0,0,0,4,,,,,,,,,1.0,2.0,13.0
547,Leon Hall,2003,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2003.html,FR,DB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1.0,0,,,,,,4,18,4.5,0,,,,,3.0,13.0,10.0
548,Leon Hall,2004,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2004.html,SO,DB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,0,,,,,,6,104,17.3,1,,,,,3.0,14.0,9.0
549,Leon Hall,2005,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2005.html,JR,DB,12,,,,,,,,,,,,,,,,,,,,,,48,13,61,3.0,2.0,4,10,2.5,0,,,83,1,,4,41,10.3,0,,,,,5.0,37.0,7.0
550,Leon Hall,2006,Michigan,Big Ten,https://www.sports-reference.com/cfb/schools/michigan/2006.html,SR,DB,13,,,,,,,,,,,,,,,,,,,,,,38,7,45,2.0,1.0,3,10,3.3,0,,,,,,1,11,11.0,0,,,,,2.0,6.0,11.0
