,player,year,school,conference,team_year_url,class,pos,games,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,losses,rank,wins
3561,Trent Richardson,2009,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2009.html,FR,RB,14,,,,,,,,,,145,751,5.2,8,16,126,7.9,0,161,877,5.4,8,4,2,6,0.0,0.0,0,0,,0,,,,,,,,,,1,20,20.0,0,0.0,1.0,14.0
3562,Trent Richardson,2010,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2010.html,SO,RB,11,,,,,,,,,,112,700,6.3,6,23,266,11.6,4,135,966,7.2,10,5,1,6,0.0,0.0,0,0,,0,0,0,,,0,,,,,24,634,26.4,1,3.0,16.0,10.0
3563,Trent Richardson,2011,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2011.html,JR,RB,13,,,,,,,,,,283,1679,5.9,21,29,338,11.7,3,312,2017,6.5,24,1,0,1,0.0,0.0,0,0,,0,0,0,,,1,,,,,3,66,22.0,0,1.0,3.0,12.0
3564,Justin Blackmon,2009,Oklahoma State,Big 12,https://www.sports-reference.com/cfb/schools/oklahoma-state/2009.html,FR,WR,13,,,,,,,,,,,,,,20,260,13.0,2,20,260,13.0,2,,,,,,0,0,,0,,,,,,,,,,,,,,4.0,22.0,9.0
3565,Justin Blackmon,2010,Oklahoma State,Big 12,https://www.sports-reference.com/cfb/schools/oklahoma-state/2010.html,SO,WR,12,,,,,,,,,,4,77,19.3,1,111,1782,16.1,20,115,1859,16.2,21,1,1,2,0.0,0.0,0,0,,0,,,,,,0,7,,1,,,,,2.0,9.0,11.0
3566,Justin Blackmon,2011,Oklahoma State,Big 12,https://www.sports-reference.com/cfb/schools/oklahoma-state/2011.html,JR,WR,13,,,,,,,,,,4,7,1.8,0,122,1522,12.5,18,126,1529,12.1,18,3,0,3,0.0,0.0,0,0,,0,,,,,,1,2,2.0,0,,,,,1.0,3.0,12.0
3567,Morris Claiborne,2009,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2009.html,FR,DB,7,,,,,,,,,,,,,,,,,,,,,,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,0,4.0,22.0,9.0
3568,Morris Claiborne,2010,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2010.html,SO,DB,12,,,,,,,,,,,,,,,,,,,,,,19,18,37,1.0,0.0,5,101,20.2,0,3,1,,,0,,,,,2,57,28.5,0,2.0,9.0,11.0
3569,Morris Claiborne,2011,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2011.html,JR,DB,14,,,,,,,,,,,,,,,,,,,,,,32,19,51,1.0,0.0,6,173,28.8,1,6,0,,,0,,,,,22,552,25.1,1,1.0,1.0,13.0
3570,Mark Barron,2008,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2008.html,FR,DB,13,,,,,,,,,,,,,,,,,,0,0,,0,9,7,16,1.5,1.5,0,0,,0,,,,,,1,1,1.0,0,,,,,2.0,6.0,12.0
3571,Mark Barron,2009,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2009.html,SO,DB,14,,,,,,,,,,,,,,1,7,7.0,0,1,7,7.0,0,43,33,76,3.5,0.5,7,125,17.9,1,,,,,,,,,,,,,,0.0,1.0,14.0
3572,Mark Barron,2010,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2010.html,JR,DB,12,,,,,,,,,,,,,,,,,,0,0,,0,54,21,75,3.0,2.0,3,6,2.0,0,6,0,,,1,,,,,,,,,3.0,16.0,10.0
3573,Mark Barron,2011,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2011.html,SR,DB,13,,,,,,,,,,,,,,,,,,0,0,,0,43,25,68,5.0,1.0,2,14,7.0,0,5,1,,,0,,,,,,,,,1.0,3.0,12.0
3574,Ryan Tannehill,2008,Texas A&M,Big 12,https://www.sports-reference.com/cfb/schools/texas-am/2008.html,FR,WR,11,1,1,100.0,8,8.0,8.0,0,0,167.2,2,-8,-4.0,0,55,844,15.3,5,57,836,14.7,5,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,8.0,89.0,4.0
3575,Ryan Tannehill,2009,Texas A&M,Big 12,https://www.sports-reference.com/cfb/schools/texas-am/2009.html,SO,QB,13,4,8,50.0,60,7.5,7.5,0,0,113.0,4,-5,-1.3,0,46,609,13.2,4,50,604,12.1,4,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,7.0,70.0,6.0
3576,Ryan Tannehill,2010,Texas A&M,Big 12,https://www.sports-reference.com/cfb/schools/texas-am/2010.html,JR,WR,13,152,234,65.0,1638,7.0,7.0,13,6,137.0,51,76,1.5,1,11,143,13.0,1,62,219,3.5,2,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,4.0,25.0,9.0
3577,Ryan Tannehill,2011,Texas A&M,Big 12,https://www.sports-reference.com/cfb/schools/texas-am/2011.html,SR,QB,13,327,531,61.6,3744,7.1,6.9,29,15,133.2,58,306,5.3,4,,,,,58,306,5.3,4,,,,,,0,0,,0,,,,,,,,,,,,,,6.0,50.0,7.0
3578,Luke Kuechly,2009,Boston College,ACC,https://www.sports-reference.com/cfb/schools/boston-college/2009.html,FR,LB,13,,,,,,,,,,,,,,,,,,,,,,87,71,158,13.0,1.0,1,28,28.0,1,,,,,,,,,,1,0,0.0,0,5.0,35.0,8.0
3579,Luke Kuechly,2010,Boston College,ACC,https://www.sports-reference.com/cfb/schools/boston-college/2010.html,SO,LB,13,,,,,,,,,,,,,,,,,,,,,,110,73,183,10.5,1.5,3,31,10.3,0,,,,,,,,,,1,0,0.0,0,6.0,50.0,7.0
3580,Luke Kuechly,2011,Boston College,ACC,https://www.sports-reference.com/cfb/schools/boston-college/2011.html,JR,LB,12,,,,,,,,,,,,,,,,,,,,,,102,89,191,12.0,0.0,3,71,23.7,1,,,,,,,,,,,,,,8.0,91.0,4.0
3581,Stephon Gilmore,2009,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2009.html,FR,DB,13,1,1,100.0,39,39.0,39.0,0,0,427.6,5,20,4.0,0,,,,,5,20,4.0,0,39,17,56,6.0,3.0,1,-1,-1.0,0,,,,,,15,152,10.1,0,,,,,6.0,55.0,7.0
3582,Stephon Gilmore,2010,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2010.html,SO,DB,14,1,2,50.0,29,14.5,14.5,0,0,171.8,2,17,8.5,0,,,,,2,17,8.5,0,66,13,79,6.0,3.0,3,97,32.3,1,,,,,,9,47,5.2,0,,,,,5.0,34.0,9.0
3583,Stephon Gilmore,2011,South Carolina,SEC,https://www.sports-reference.com/cfb/schools/south-carolina/2011.html,JR,DB,13,,,,,,,,,,,,,,,,,,0,0,,0,35,11,46,3.0,1.0,4,-10,-2.5,0,,,,,,4,7,1.8,0,2,47,23.5,0,2.0,8.0,11.0
3584,Dontari Poe,2009,Memphis,CUSA,https://www.sports-reference.com/cfb/schools/memphis/2009.html,FR,DL,11,,,,,,,,,,,,,,,,,,,,,,18,9,27,7.0,2.0,,,,,0,0,0,0,3,,,,,,,,,10.0,109.0,2.0
3585,Dontari Poe,2010,Memphis,CUSA,https://www.sports-reference.com/cfb/schools/memphis/2010.html,SO,DL,12,,,,,,,,,,,,,,,,,,,,,,21,20,41,6.5,2.0,,,,,1,0,0,0,0,,,,,,,,,11.0,117.0,1.0
3586,Dontari Poe,2011,Memphis,CUSA,https://www.sports-reference.com/cfb/schools/memphis/2011.html,JR,DL,12,,,,,,,,,,,,,,,,,,,,,,18,15,33,8.0,1.0,,,,,3,0,0,0,1,,,,,,,,,10.0,109.0,2.0
3587,Fletcher Cox,2009,Mississippi State,SEC,https://www.sports-reference.com/cfb/schools/mississippi-state/2009.html,FR,DL,12,,,,,,,,,,,,,,,,,,,,,,17,12,29,3.5,0.0,,,,,0,0,0,0,0,,,,,,,,,7.0,74.0,5.0
3588,Fletcher Cox,2010,Mississippi State,SEC,https://www.sports-reference.com/cfb/schools/mississippi-state/2010.html,SO,DL,12,,,,,,,,,,,,,,,,,,,,,,10,19,29,6.5,2.5,,,,,0,0,0,0,1,,,,,,,,,4.0,25.0,9.0
3589,Fletcher Cox,2011,Mississippi State,SEC,https://www.sports-reference.com/cfb/schools/mississippi-state/2011.html,JR,DL,12,,,,,,,,,,,,,,,,,,,,,,26,30,56,14.5,5.0,,,,,0,1,52,0,1,,,,,,,,,6.0,50.0,7.0
3590,Michael Floyd,2008,Notre Dame,Ind,https://www.sports-reference.com/cfb/schools/notre-dame/2008.html,FR,WR,11,,,,,,,,,,,,,,48,719,15.0,7,48,719,15.0,7,1,0,1,0.0,0.0,0,0,,0,,,,,,,,,,,,,,6.0,52.0,7.0
3591,Michael Floyd,2009,Notre Dame,Ind,https://www.sports-reference.com/cfb/schools/notre-dame/2009.html,SO,WR,7,,,,,,,,,,1,8,8.0,0,44,795,18.1,9,45,803,17.8,9,,,,,,0,0,,0,,,,,,,,,,,,,,6.0,66.0,6.0
3592,Michael Floyd,2010,Notre Dame,Ind,https://www.sports-reference.com/cfb/schools/notre-dame/2010.html,JR,WR,12,,,,,,,,,,1,9,9.0,0,79,1025,13.0,12,80,1034,12.9,12,0,0,0,0.0,0.0,0,0,,0,0,0,,,0,,,,,,,,,5.0,35.0,8.0
3593,Michael Floyd,2011,Notre Dame,Ind,https://www.sports-reference.com/cfb/schools/notre-dame/2011.html,SR,WR,13,,,,,,,,,,2,13,6.5,1,100,1147,11.5,9,102,1160,11.4,10,1,0,1,0.0,0.0,0,0,,0,0,0,,,0,2,44,22.0,0,,,,,5.0,35.0,8.0
3594,Michael Brockers,2010,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2010.html,FR,DL,13,,,,,,,,,,,,,,,,,,,,,,8,17,25,1.0,0.0,0,0,,0,2,0,,,1,,,,,,,,,2.0,9.0,11.0
3595,Michael Brockers,2011,LSU,SEC,https://www.sports-reference.com/cfb/schools/louisiana-state/2011.html,SO,DL,14,,,,,,,,,,,,,,,,,,,,,,26,28,54,10.0,2.0,1,0,0.0,0,2,0,,,1,,,,,,,,,1.0,1.0,13.0
3596,Bruce Irvin,2010,West Virginia,Big East,https://www.sports-reference.com/cfb/schools/west-virginia/2010.html,JR,DL,13,,,,,,,,,,,,,,,,,,,,,,18,3,21,14.0,14.0,0,0,,0,1,0,,,2,,,,,,,,,4.0,25.0,9.0
3597,Bruce Irvin,2011,West Virginia,Big East,https://www.sports-reference.com/cfb/schools/west-virginia/2011.html,SR,DL,13,,,,,,,,,,,,,,,,,,,,,,27,13,40,15.0,8.5,0,0,,0,0,0,,,3,,,,,,,,,3.0,18.0,10.0
3598,Quinton Coples,2008,North Carolina,ACC,https://www.sports-reference.com/cfb/schools/north-carolina/2008.html,FR,DL,12,,,,,,,,,,,,,,,,,,,,,,6,2,8,3.5,1.5,,,,,0,0,0,0,0,,,,,,,,,5.0,36.0,8.0
3599,Quinton Coples,2009,North Carolina,ACC,https://www.sports-reference.com/cfb/schools/north-carolina/2009.html,SO,DL,13,,,,,,,,,,,,,,,,,,,,,,12,10,22,6.5,5.0,,,,,0,0,0,0,0,,,,,,,,,5.0,35.0,8.0
3600,Quinton Coples,2010,North Carolina,ACC,https://www.sports-reference.com/cfb/schools/north-carolina/2010.html,JR,DL,13,,,,,,,,,,,,,,,,,,,,,,33,26,59,15.5,10.0,,,,,2,0,0,0,2,,,,,,,,,5.0,35.0,8.0
3601,Quinton Coples,2011,North Carolina,ACC,https://www.sports-reference.com/cfb/schools/north-carolina/2011.html,SR,DL,13,,,,,,,,,,,,,,,,,,,,,,29,26,55,15.0,7.5,,,,,2,0,0,0,3,,,,,,,,,6.0,50.0,7.0
3602,Dre Kirkpatrick,2009,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2009.html,FR,DB,12,,,,,,,,,,,,,,,,,,,,,,3,5,8,0.0,0.0,0,0,,0,0,0,0,0,0,,,,,,,,,0.0,1.0,14.0
3603,Dre Kirkpatrick,2010,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2010.html,SO,DB,13,,,,,,,,,,,,,,,,,,,,,,39,14,53,4.0,0.0,3,30,10.0,0,7,1,,,1,,,,,,,,,3.0,16.0,10.0
3604,Dre Kirkpatrick,2011,Alabama,SEC,https://www.sports-reference.com/cfb/schools/alabama/2011.html,JR,DB,13,,,,,,,,,,,,,,,,,,,,,,24,6,30,4.0,0.0,0,0,,0,9,0,0,1,2,,,,,,,,,1.0,3.0,12.0
